2020-08-03 15:07:16,376 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@21213b92: startup date [Mon Aug 03 15:07:16 CEST 2020]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2020-08-03 15:07:17,313 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\Visiteur\Desktop\apache-activemq-5.16.0-bin\apache-activemq-5.16.0\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2020-08-03 15:07:17,988 | INFO  | PListStore:[C:\Users\Visiteur\Desktop\apache-activemq-5.16.0-bin\apache-activemq-5.16.0\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2020-08-03 15:07:18,161 | INFO  | Apache ActiveMQ 5.16.0 (localhost, ID:VIB-PC-52324-1596460038004-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2020-08-03 15:07:18,186 | INFO  | Listening for connections at: tcp://VIB-PC:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2020-08-03 15:07:18,188 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2020-08-03 15:07:18,194 | INFO  | Listening for connections at: amqp://VIB-PC:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2020-08-03 15:07:18,197 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2020-08-03 15:07:18,202 | INFO  | Listening for connections at: stomp://VIB-PC:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2020-08-03 15:07:18,206 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2020-08-03 15:07:18,211 | INFO  | Listening for connections at: mqtt://VIB-PC:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2020-08-03 15:07:18,214 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
